"","country","agemin","agemax","tarspec","with_expats","mau"
"21","CZ","18","65","{""geo_locations"":{""countries"":[""CZ""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65,""flexible_spec"":[{""behaviors"":[{""id"":""6015559470583"",""name"":""Livesabroad""}]}]}","TRUE","310900"
"22","CZ","18","65","{""geo_locations"":{""countries"":[""CZ""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65}","FALSE","6900000"
"23","DE","18","65","{""geo_locations"":{""countries"":[""DE""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65,""flexible_spec"":[{""behaviors"":[{""id"":""6015559470583"",""name"":""Livesabroad""}]}]}","TRUE","4500000"
"24","DE","18","65","{""geo_locations"":{""countries"":[""DE""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65}","FALSE","46300000"
"25","DK","18","65","{""geo_locations"":{""countries"":[""DK""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65,""flexible_spec"":[{""behaviors"":[{""id"":""6015559470583"",""name"":""Livesabroad""}]}]}","TRUE","315300"
"26","DK","18","65","{""geo_locations"":{""countries"":[""DK""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65}","FALSE","4900000"
"27","EE","18","65","{""geo_locations"":{""countries"":[""EE""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65,""flexible_spec"":[{""behaviors"":[{""id"":""6015559470583"",""name"":""Livesabroad""}]}]}","TRUE","27000"
"28","EE","18","65","{""geo_locations"":{""countries"":[""EE""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65}","FALSE","960900"
"29","ES","18","65","{""geo_locations"":{""countries"":[""ES""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65,""flexible_spec"":[{""behaviors"":[{""id"":""6015559470583"",""name"":""Livesabroad""}]}]}","TRUE","3100000"
"30","ES","18","65","{""geo_locations"":{""countries"":[""ES""],""location_types"":[""home""]},""publisher_platforms"":[""facebook"",""instagram"",""audience_network"",""messenger""],""facebook_positions"":[""feed"",""instant_article"",""instream_video"",""right_hand_column"",""video_feeds"",""marketplace"",""story"",""facebook_reels_overlay"",""search"",""groups_feed""],""instagram_positions"":[""stream"",""story"",""explore"",""reels"",""shop""],""messenger_positions"":[""messenger_home"",""story""],""device_platforms"":[""mobile"",""desktop""],""audience_network_positions"":[""classic"",""rewarded_video""],""oculus_positions"":[],""excluded_publisher_list_ids"":[],""user_device"":[],""excluded_user_device"":[],""user_os"":[],""wireless_carrier"":[],""targeting_optimization"":""none"",""brand_safety_content_filter_levels"":[""FACEBOOK_STANDARD"",""AN_STANDARD""],""excluded_brand_safety_content_types"":[],""age_min"":18,""age_max"":65}","FALSE","35800000"
