query_time,dau,behaviors,mau,mau_lower,mau_upper,country,age_group,gender_alias
2024-05-31 21:35:36,994,Lived in Czech Republic (Formerly Expats - Czech Republic),1000,1000,1000,DE,13-19,F
2024-05-31 21:35:43,-3,Lived in Denmark (Formerly Expats - Denmark),-3,-3,-3,DE,13-19,F
2024-05-31 21:35:50,-3,Lived in Estonia (Formerly Expats - Estonia),-3,-3,-3,DE,13-19,F
2024-05-31 21:35:57,-3,Lived in Finland (Formerly Expats - Finland),-3,-3,-3,DE,13-19,F
2024-05-31 21:36:07,989,Lived in France (Formerly Expats - France),1000,1000,1000,DE,13-19,F
2024-05-31 21:36:14,-3,Lived in Germany (Formerly Expats - Germany),-3,-3,-3,DE,13-19,F
2024-05-31 21:36:25,0,Lived in Hungary (Formerly Expats - Hungary),1000,1000,1000,DE,13-19,F
2024-05-31 21:36:32,-3,Lived in Ireland (Formerly Expats - Ireland),-3,-3,-3,DE,13-19,F
2024-05-31 21:36:42,199,Lived in Italy (Formerly Expats - Italy),1000,1000,1000,DE,13-19,F
2024-05-31 21:36:49,-3,Lived in Lithuania (Formerly Expats - Lithuania),-3,-3,-3,DE,13-19,F
2024-05-31 21:37:00,0,Lived in Netherlands (Formerly Expats - Netherlands),1000,1000,1000,DE,13-19,F
2024-05-31 21:37:07,-3,Lived in Norway (Formerly Expats - Norway),-3,-3,-3,DE,13-19,F
2024-05-31 21:37:17,998,Lived in Poland (Formerly Expats - Poland),1000,1000,1000,DE,13-19,F
2024-05-31 21:37:28,0,Lived in Portugal (Formerly Expats - Portugal),1000,1000,1000,DE,13-19,F
2024-05-31 21:37:38,998,Lived in Romania (Formerly Expats - Romania),1000,1000,1000,DE,13-19,F
2024-05-31 21:37:49,989,Lived in Russia (Formerly Expats - Russia),1000,1000,1000,DE,13-19,F
2024-05-31 21:38:00,0,Lived in Serbia (Formerly Expats - Serbia),1000,1000,1000,DE,13-19,F
2024-05-31 21:38:10,996,Lived in Slovakia (Formerly Expats - Slovakia),1000,1000,1000,DE,13-19,F
2024-05-31 21:38:21,0,Lived in Spain (Formerly Expats - Spain),1000,1000,1000,DE,13-19,F
2024-05-31 21:38:31,0,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,13-19,F
2024-05-31 21:38:42,0,Lived in Switzerland (Formerly Expats - Switzerland),1000,1000,1000,DE,13-19,F
2024-05-31 21:38:53,989,Lived in United Kingdom (Formerly Expats - United Kingdom),1000,1000,1000,DE,13-19,F
2024-05-31 21:39:03,0,Lived in Greece (Formerly Expats - Greece),1000,1000,1000,DE,13-19,F
2024-05-31 21:39:15,0,Lived in Latvia (Formerly Expats - Latvia),1000,1000,1000,DE,13-19,F
