query_time,dau,behaviors,mau,mau_lower,mau_upper,country,age_group,gender_alias
2024-05-31 23:40:24,3178,Lived in France (Formerly Expats - France),3700,3400,4000,DE,30-34,all
2024-05-31 23:40:35,0,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,30-34,all
2024-05-31 23:41:08,19280,Lived in Italy (Formerly Expats - Italy),22100,20300,23900,DE,30-34,all
2024-05-31 23:41:29,2317,Lived in Netherlands (Formerly Expats - Netherlands),2750,2500,3000,DE,30-34,all
2024-05-31 23:41:50,39500,Lived in Poland (Formerly Expats - Poland),41150,37800,44500,DE,30-34,all
2024-05-31 23:42:55,5883,Lived in Spain (Formerly Expats - Spain),6850,6300,7400,DE,30-34,all
2024-05-31 23:43:06,890,Lived in Sweden (Formerly Expats - Sweden),1300,1200,1400,DE,30-34,all
2024-05-31 23:43:27,3266,Lived in United Kingdom (Formerly Expats - United Kingdom),4550,4200,4900,DE,30-34,all
2024-05-31 23:45:25,1899,Lived in France (Formerly Expats - France),1850,1700,2000,DE,30-34,M
2024-05-31 23:45:35,0,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,30-34,M
2024-06-01 00:31:10,10499,Lived in Italy (Formerly Expats - Italy),11650,10700,12600,DE,30-34,M
2024-06-01 00:31:31,1162,Lived in Netherlands (Formerly Expats - Netherlands),1500,1400,1600,DE,30-34,M
2024-06-01 00:31:52,18043,Lived in Poland (Formerly Expats - Poland),18800,17300,20300,DE,30-34,M
2024-06-01 00:32:54,3069,Lived in Spain (Formerly Expats - Spain),3600,3300,3900,DE,30-34,M
2024-06-01 00:33:05,624,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,30-34,M
2024-06-01 00:33:25,1866,Lived in United Kingdom (Formerly Expats - United Kingdom),2600,2400,2800,DE,30-34,M
2024-06-01 00:35:21,1262,Lived in France (Formerly Expats - France),1850,1700,2000,DE,30-34,F
2024-06-01 00:35:31,0,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,30-34,F
2024-06-01 00:36:03,8881,Lived in Italy (Formerly Expats - Italy),10350,9500,11200,DE,30-34,F
2024-06-01 00:36:24,1020,Lived in Netherlands (Formerly Expats - Netherlands),1200,1100,1300,DE,30-34,F
2024-06-01 00:36:45,22329,Lived in Poland (Formerly Expats - Poland),22600,20800,24400,DE,30-34,F
2024-06-01 00:37:50,2677,Lived in Spain (Formerly Expats - Spain),3150,2900,3400,DE,30-34,F
2024-06-01 00:38:00,664,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,30-34,F
2024-06-01 00:38:21,1399,Lived in United Kingdom (Formerly Expats - United Kingdom),1950,1800,2100,DE,30-34,F
2024-06-01 00:40:18,2399,Lived in France (Formerly Expats - France),2950,2700,3200,DE,35-39,all
2024-06-01 00:40:28,0,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,35-39,all
2024-06-01 00:40:59,17005,Lived in Italy (Formerly Expats - Italy),18150,16700,19600,DE,35-39,all
2024-06-01 00:41:20,2096,Lived in Netherlands (Formerly Expats - Netherlands),2400,2200,2600,DE,35-39,all
2024-06-01 00:41:41,40878,Lived in Poland (Formerly Expats - Poland),42250,38800,45700,DE,35-39,all
2024-06-01 00:42:45,4733,Lived in Spain (Formerly Expats - Spain),5300,4900,5700,DE,35-39,all
2024-06-01 00:42:55,635,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,35-39,all
2024-06-01 00:43:16,2582,Lived in United Kingdom (Formerly Expats - United Kingdom),3700,3400,4000,DE,35-39,all
2024-06-01 01:30:15,1307,Lived in France (Formerly Expats - France),1500,1400,1600,DE,35-39,M
2024-06-01 01:30:27,0,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,35-39,M
2024-06-01 01:30:58,9014,Lived in Italy (Formerly Expats - Italy),9700,8900,10500,DE,35-39,M
2024-06-01 01:31:19,1132,Lived in Netherlands (Formerly Expats - Netherlands),1300,1200,1400,DE,35-39,M
2024-06-01 01:31:39,18082,Lived in Poland (Formerly Expats - Poland),18800,17300,20300,DE,35-39,M
2024-06-01 01:32:42,2221,Lived in Spain (Formerly Expats - Spain),2800,2600,3000,DE,35-39,M
2024-06-01 01:32:53,499,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,35-39,M
2024-06-01 01:33:13,1532,Lived in United Kingdom (Formerly Expats - United Kingdom),2100,1900,2300,DE,35-39,M
2024-06-01 01:35:09,1070,Lived in France (Formerly Expats - France),1400,1300,1500,DE,35-39,F
2024-06-01 01:35:19,0,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,35-39,F
2024-06-01 01:35:51,7811,Lived in Italy (Formerly Expats - Italy),8250,7600,8900,DE,35-39,F
2024-06-01 01:36:16,854,Lived in Netherlands (Formerly Expats - Netherlands),1050,1000,1100,DE,35-39,F
2024-06-01 01:36:37,23143,Lived in Poland (Formerly Expats - Poland),23550,21600,25500,DE,35-39,F
2024-06-01 01:37:40,2446,Lived in Spain (Formerly Expats - Spain),2500,2300,2700,DE,35-39,F
2024-06-01 01:37:50,996,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,35-39,F
2024-06-01 01:38:11,1034,Lived in United Kingdom (Formerly Expats - United Kingdom),1550,1400,1700,DE,35-39,F
