"","headline","links","scrapetime","shortname","sentiment"
"52","House Democrats� path back to the majority could run through the Supreme Court","https://www.washingtonpost.com/politics/2022/11/22/house-democrats-path-back-majority-could-run-through-supreme-court/",2022-11-23 00:15:06.242801,"washingtonpost",0.75
"53","Carolyn Hax: Out of an abusive marriage, hoping friends didn�t give up","https://www.washingtonpost.com/advice/2022/11/22/carolyn-hax-abusive-marriage-friends/",2022-11-23 00:15:06.242801,"washingtonpost",0.7
"54","Ask Elaine: I finally made big changes but feel more unsure than ever","https://www.washingtonpost.com/advice/2022/11/22/ask-elaine-big-change-unsure-move/",2022-11-23 00:15:06.242801,"washingtonpost",0.15
"55","Miss Manners: Guest pointed out a burned-out bulb in the middle of dinner","https://www.washingtonpost.com/advice/2022/11/22/miss-manners-rude-guest-host/",2022-11-23 00:15:06.242801,"washingtonpost",0.7
"56","Ask Amy: I�m excited to move in with my boyfriend � except he�s so messy","https://www.washingtonpost.com/advice/2022/11/22/ask-amy-messy-boyfriend-move-in/",2022-11-23 00:15:06.242801,"washingtonpost",0.25
"57","What to know about the �winter blues� � and ways to treat it","https://www.washingtonpost.com/wellness/2022/11/29/seasonal-affective-disorder-prevalence-duration/",2022-11-23 00:15:06.242801,"washingtonpost",0
"58","My mother�s obsession with weight created an invisible war between us","https://www.washingtonpost.com/wellness/2022/11/22/weight-dieting-eating-disorders-mothers-daughters/",2022-11-23 00:15:06.242801,"washingtonpost",-0.9
"59","The �most common crippling hand condition� you�ve never heard of","https://www.washingtonpost.com/wellness/2022/11/20/dupuytrens-crippling-hand-disease-treatments/",2022-11-23 00:15:06.242801,"washingtonpost",-1
"60","Which cooking oils are the healthiest?","https://www.washingtonpost.com/health/2022/11/21/cooking-oils-health-fats/",2022-11-23 00:15:06.242801,"washingtonpost",0
"61","After a loved one dies, red tape adds to the grief","https://www.washingtonpost.com/wellness/2022/11/20/death-red-tape-bureaucracy-finances/",2022-11-23 00:15:06.242801,"washingtonpost",-1.05
"62","Giving �Mother Nature a little bit of a boost� on the Great Barrier Reef","https://www.washingtonpost.com/climate-solutions/2022/11/22/great-barrier-reef-corals-bleaching/",2022-11-23 00:15:06.242801,"washingtonpost",0.75
"63","How Buffalo is clearing 80 inches of snow almost as fast as it fell","https://www.washingtonpost.com/climate-environment/2022/11/22/how-buffalo-is-clearing-80-inches-snow-almost-fast-it-fell/",2022-11-23 00:15:06.242801,"washingtonpost",-0.5
"64","Drought in Hawaii is fueling rare November wildfire concerns","https://www.washingtonpost.com/climate-environment/2022/11/22/hawaii-drought-fires-deer-water/",2022-11-23 00:15:06.242801,"washingtonpost",-1.35
"65","The Amazon forest is approaching a tipping point. Some regions are starting to collapse.","https://www.washingtonpost.com/world/interactive/2022/amazon-brazil-tipping-point/",2022-11-23 00:15:06.242801,"washingtonpost",-0.75
"66","The climate-friendly way to furnish your home","https://www.washingtonpost.com/home/2022/11/21/sustainable-furnish-home/",2022-11-23 00:15:06.242801,"washingtonpost",0
"67","There will never be anything like Twitter again","https://www.washingtonpost.com/technology/2022/11/22/musk-twitter-dead-idea/",2022-11-23 00:15:06.242801,"washingtonpost",0.5
"68","Her live cooking videos were popular on Facebook. A hack cost her thousands of dollars.","https://www.washingtonpost.com/technology/2022/11/21/hacked-facebook-account/",2022-11-23 00:15:06.242801,"washingtonpost",0
